,Unnamed: 0,timestamp,UTC time,x,y,z,x_mean,y_mean,z_mean,x_sd,y_sd,z_sd,magnitude,m_mean,m_sd,hor_magnitude,m_hor_mean,m_hor_sd,x_E,y_E,z_E
3,20589,1565109931087,2019-08-06 16:45:31.087,-0.053802490234375,-0.987701416015625,0.0689849853515625,-0.042560577392578125,-0.9898147583007812,0.06698989868164062,0.0258213019139384,0.039453501628739875,0.10238160909660214,0.991568315023552,0.9970471967519384,0.04409348706076499,0.9891657066208325,0.9909610832542513,0.04013774268788873,0.009245829889550805,3.923602759372443,0.049396567745134234
13,20599,1565109932090,2019-08-06 16:45:32.090,0.0137176513671875,-0.8523712158203125,-0.0008697509765625,-0.05258941650390625,-0.9617385864257812,0.13238525390625,0.05362543974000856,0.15895033839317207,0.1082971360143788,0.8524820349924043,0.9780155973306612,0.15756470766810346,0.8524815913074191,0.9641555570069249,0.16006869624469572,0.019689650274813175,3.7755600647069514,0.10528823081403971
23,20609,1565109933092,2019-08-06 16:45:33.092,0.1455841064453125,-1.007843017578125,-0.0368194580078125,0.102020263671875,-1.0010833740234375,-0.048351287841796875,0.03677711734577112,0.0077153060871120015,0.02001155281416949,1.0189690636218796,1.0080672634465468,0.009913207682470757,1.0183036286542737,1.0067518147060928,0.010702103408815661,0.04569020587950945,4.008850264828652,0.01055277488194406
33,20619,1565109934094,2019-08-06 16:45:34.094,-0.0993804931640625,-1.209686279296875,0.3044891357421875,-0.07379913330078125,-0.9674415588378906,0.22127151489257812,0.0402470002149277,0.1647327665569094,0.06299281827840945,1.251371651638982,0.9961846707383786,0.17324459529884878,1.2137616638947901,0.9707343736856964,0.16585852059518688,0.026644711382687092,3.825183332199231,0.20774861867539585
43,20629,1565109935097,2019-08-06 16:45:35.097,0.082794189453125,-1.001434326171875,-0.0253753662109375,0.042354583740234375,-1.0024948120117188,-0.01678466796875,0.031541690798067706,0.011292057195630579,0.03457145060445674,1.0051713767576436,1.0043517056936213,0.010789855211231658,1.0048510274874167,1.0037653021950277,0.010755996413009868,0.010160277830436826,4.0203659241087735,0.004712455905973911
53,20639,1565109936099,2019-08-06 16:45:36.099,0.0375823974609375,-0.998382568359375,0.0193328857421875,0.04998779296875,-1.0044479370117188,-0.015026092529296875,0.02171716500749147,0.004510505961890838,0.0372384661428281,0.9992767133651692,1.0064941158661038,0.00501042341425105,0.999089680360464,1.0058662080084269,0.004703777167131906,0.011410023551434278,4.035723666660488,0.005063243908807635
63,20649,1565109937101,2019-08-06 16:45:37.101,-0.0205535888671875,-0.9997406005859376,0.12078857421875,-0.02033233642578125,-0.9964637756347656,0.11470413208007812,0.0037825693785579675,0.007958979840657273,0.014974490662455715,1.0072207296005435,1.0033288578029351,0.00953012726611393,0.999951858078804,0.9966763129579768,0.008002261240639666,0.0016965391114354134,3.971950260689482,0.053300857776775956
73,20659,1565109938103,2019-08-06 16:45:38.103,0.032440185546875,-0.9703369140625,0.241424560546875,0.0445404052734375,-1.0273628234863281,0.3138084411621094,0.037385521683935614,0.3243004228218861,0.1387844638135733,1.0004458560391476,1.0766461385527346,0.34859570760475,0.9708790307915045,1.0291956568055363,0.3227813499401074,0.012128422502428293,4.537409777054563,0.45168633316643536
83,20669,1565109939106,2019-08-06 16:45:39.106,0.2125244140625,-0.9763641357421876,0.0749969482421875,0.1458587646484375,-0.9972801208496094,0.020282745361328125,0.07354394949644746,0.014579671809152204,0.04130761040726328,1.0020369725623097,1.0107491176487435,0.013452539270904024,0.9992264768991052,1.0099047906965732,0.01417471447752563,0.10132525442168117,3.9789082582574338,0.00676451507024467
93,20679,1565109940108,2019-08-06 16:45:40.108,0.154510498046875,-0.8434600830078125,0.0105438232421875,0.2504692077636719,-1.0322952270507812,0.08617782592773438,0.2411435554944927,0.22869118765521002,0.28186149023521834,0.8575602473545528,1.1083077802825838,0.25786449073180245,0.8574954260135965,1.0730019965259725,0.2825417503818251,0.4253899392206222,4.419432721100748,0.26804416975937784
103,20689,1565109941110,2019-08-06 16:45:41.110,0.3168487548828125,-0.870635986328125,0.614105224609375,0.07753372192382812,-0.882049560546875,0.3472137451171875,0.17046769598730235,0.1896287437576047,0.18343204832518956,1.1115418935212773,0.973629600767534,0.20207226345761642,0.9264988689471432,0.8973796972090425,0.19147256098993662,0.11122361826710403,3.219922890421003,0.5831714882515371
